--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
083.331  000.061  000.061: require('luasnip.nodes.key_indexer')
083.383  000.048  000.048: require('luasnip.util.feedkeys')
083.392  000.182  000.072: require('luasnip.nodes.util')
083.497  000.045  000.045: require('luasnip.session.snippet_collection.source')
083.542  000.042  000.042: require('luasnip.util.table')
083.589  000.044  000.044: require('luasnip.util.auto_table')
083.600  000.206  000.075: require('luasnip.session.snippet_collection')
083.752  000.050  000.050: require('luasnip.util.select')
083.795  000.040  000.040: require('luasnip.util.time')
084.280  000.630  000.540: require('luasnip.util._builtin_vars')
084.316  000.713  000.083: require('luasnip.util.environ')
084.367  000.049  000.049: require('luasnip.util.extend_decorator')
084.500  000.077  000.077: require('luasnip.util.path')
084.632  000.071  000.071: require('luasnip.util.log')
084.639  000.135  000.064: require('luasnip.loaders.util')
084.721  000.047  000.047: require('luasnip.loaders.data')
084.818  000.094  000.094: require('luasnip.loaders.fs_watchers')
084.824  000.454  000.101: require('luasnip.loaders')
084.846  002.550  000.388: require('luasnip')
084.943  008.190  000.535: sourcing /home/ronin/.local/share/nvim/lazy/LuaSnip/plugin/luasnip.lua
084.954  008.236  000.046: sourcing nvim_exec2() called at /home/ronin/.config/nvim/init.lua:0
085.037  000.035  000.035: sourcing /home/ronin/.local/share/nvim/lazy/LuaSnip/plugin/luasnip.vim
085.042  000.076  000.041: sourcing nvim_exec2() called at /home/ronin/.config/nvim/init.lua:0
085.052  000.004  000.004: sourcing nvim_exec2() called at /home/ronin/.config/nvim/init.lua:0
085.067  000.002  000.002: sourcing nvim_exec2() called at /home/ronin/.config/nvim/init.lua:0
085.232  000.054  000.054: require('cmp.utils.api')
085.316  000.039  000.039: require('cmp.types.cmp')
085.416  000.047  000.047: require('cmp.utils.misc')
085.476  000.156  000.109: require('cmp.types.lsp')
085.518  000.040  000.040: require('cmp.types.vim')
085.522  000.286  000.051: require('cmp.types')
